family	p_crown	p_preceding	crown	preceding	fate
mltG	1	1	present	present	retained
mmpL11	1	1	present	present	retained
mmpL3	1	1	present	present	retained
mmpS3	0.9999	1	present	present	retained
mmsA	1	1	present	present	retained
mmsB	1	1	present	present	retained
mnmA	1	1	present	present	retained
moaA	1	1	present	present	retained
moaB	1	1	present	present	retained
moaC	1	1	present	present	retained
moaD2	0.9997	0.9997	present	present	retained
moaE	1	1	present	present	retained
mobA	0.9999	0.9999	present	present	retained
moeA	1	1	present	present	retained
moeB	1	1	present	present	retained
mog	1	1	present	present	retained
moxR1	1	1	present	present	retained
mpg	0.5	0.5	unresolved	unresolved	polymorphic
mprA	1	1	present	present	retained
mprB	1	1	present	present	retained
mptA	1	1	present	present	retained
mqo	0.9968	0.9999	present	present	polymorphic
mraY	1	1	present	present	retained
mraZ	1	1	present	present	retained
mrp	1	1	present	present	retained
mscL	0.5	0.5	unresolved	unresolved	retained
mscS	1	1	present	present	retained
mshA	1	1	present	present	retained
mshB	1	1	present	present	retained
mshC	1	1	present	present	retained
mshD	1	1	present	present	retained
msrA	0.5	0.5	unresolved	unresolved	polymorphic
msrB	1	1	present	present	retained
mtc28	1	1	present	present	retained
mtnP	0.774	0.958	unresolved	present	polymorphic
mtr	0.055	0.9511	unresolved	present	polymorphic
mtrA	1	1	present	present	retained
mtrB	1	1	present	present	retained
murA	0.5	0.5	unresolved	unresolved	retained
murB	1	1	present	present	retained
murC	1	1	present	present	retained
murD	1	1	present	present	retained
murE	1	1	present	present	retained
murF	1	1	present	present	retained
murG	1	1	present	present	retained
murI	1	1	present	present	retained
mutA	1	1	present	present	retained
mutB	1	1	present	present	retained
mutM1	0.9999	0.9999	present	present	polymorphic
mutT	1	1	present	present	retained
mutT2	1	1	present	present	retained
mutT3	1	1	present	present	retained
mutT4	1	1	present	present	retained
mutY	1	1	present	present	retained
mvaB	1	1	present	present	retained
mviN	1	1	present	present	retained
mycP	0.9999	0.9999	present	present	retained
mycP4	0.0444	0.9645	absent	present	lost_cladewide
nadA	1	1	present	present	retained
nadB	1	1	present	present	retained
nadC	1	1	present	present	retained
nadD	1	1	present	present	retained
nadE	1	1	present	present	retained
nadK	1	1	present	present	retained
ndh	1	1	present	present	retained
ndh1	0.9999	0.9998	present	present	retained
ndk	1	1	present	present	retained
nei	0.9994	0.9995	present	present	retained
nei1	1	1	present	present	retained
nnrD	1	1	present	present	retained
nrdE	1	1	present	present	retained
nrdF	0.5001	0.5003	unresolved	unresolved	retained
nrdH	0.9998	0.9999	present	present	retained
nrdI	0.5036	0.505	unresolved	unresolved	retained
nrdR	0.5	0.5	unresolved	unresolved	retained
nrnA	0.9564	0.9963	present	present	polymorphic
nt5e	0.9999	0.9999	present	present	retained
nth	1	1	present	present	retained
nucS	0.9999	0.9999	present	present	retained
nudC	1	1	present	present	retained
nudF	1	1	present	present	retained
nudL	1	1	present	present	retained
nuoA	1	1	present	present	retained
nuoB	1	1	present	present	retained
nuoC	1	1	present	present	retained
nuoD	1	1	present	present	retained
nuoE	1	1	present	present	retained
