family	ER_prob_present_at_crown	ARD_prob_present_at_crown	ARD_informative	ER_class	ARD_class	classes_agree	both_confident	opposite_confident_calls	in_clade_wide_lost_set
dnaK	0.999999957268061	0.652163328950296	True	present	unresolved	False	False	False	False
dnaN	0.999998126558986	0.5	False	present	unresolved	False	False	False	False
dnaQ	1	1	True	present	present	True	True	False	False
dnaX	0.5	0.5	False	unresolved	unresolved	True	False	False	False
dop	0.999999654463664	0.5	False	present	unresolved	False	False	False	False
doxX	0.0646809565993004	0.205607030436817	True	unresolved	unresolved	True	False	False	True
dprA	0.999998726085786	0.5	False	present	unresolved	False	False	False	False
dprE1	0.5	0.5	False	unresolved	unresolved	True	False	False	False
dprE2	0.5	0.5	False	unresolved	unresolved	True	False	False	False
drrA_2	0.99977761851582	0.5	False	present	unresolved	False	False	False	False
dtd	0.999957924780934	0.5	False	present	unresolved	False	False	False	False
dus	0.999996909575187	0.5	False	present	unresolved	False	False	False	False
dxr	0.999993615651946	0.5	False	present	unresolved	False	False	False	False
dxs	0.999999674689857	0.5	False	present	unresolved	False	False	False	False
eapA	0.99998116774049	0.500000062234223	False	present	unresolved	False	False	False	False
eccB	0.999999609801225	0.500000014304781	False	present	unresolved	False	False	False	False
eccCa	1	1	True	present	present	True	True	False	False
echA1	0.998726945861229	0.500264596880619	False	present	unresolved	False	False	False	False
echA12	0.500027286048183	0.5	False	unresolved	unresolved	True	False	False	False
echA13	0.0385732194822509	1	True	absent	present	False	True	True	True
echA16	0.999993631287947	0.5	False	present	unresolved	False	False	False	False
echA17	0.99999778384	0.5	False	present	unresolved	False	False	False	False
echA19	0.999771283841201	0.5	False	present	unresolved	False	False	False	False
echA20	0.999971489409756	0.5	False	present	unresolved	False	False	False	False
echA21	0.999954667327324	0.5	False	present	unresolved	False	False	False	False
echA3	0.999453989777076	0.5	False	present	unresolved	False	False	False	False
echA4	0.940045907014735	0.774325925995996	True	unresolved	unresolved	True	False	False	False
echA5	0.500285291081444	0.500000000000487	False	unresolved	unresolved	True	False	False	False
echA6	0.99999964800719	0.5	False	present	unresolved	False	False	False	False
echA7	0.999932506917567	0.5	False	present	unresolved	False	False	False	False
echA8	0.999973773508356	0.5	False	present	unresolved	False	False	False	False
echA8_4	0.0656578631169862	0.999772995154348	True	unresolved	present	False	False	False	True
echA8_6	0.999970155990381	0.505043527056671	True	present	unresolved	False	False	False	False
echA9	0.999956092357647	0.5	False	present	unresolved	False	False	False	False
efp	0.99999873442205	0.5	False	present	unresolved	False	False	False	False
efpA	0.999999632709061	0.5	False	present	unresolved	False	False	False	False
egtA	0.0183487918611319	0.999999803516144	True	absent	present	False	True	True	True
egtB	0.0281048365934303	0.0461932746506819	True	absent	absent	True	True	False	True
egtC	0.0230216506895335	0.0321468211052522	True	absent	absent	True	True	False	True
egtD	0.0318098215489718	0.0126447395327279	True	absent	absent	True	True	False	True
egtE	0.0332274200492906	0.0708590263149049	True	absent	unresolved	False	False	False	True
elaA	0.999976251853785	1	True	present	present	True	True	False	False
elrF	0.999995223716583	0.5	False	present	unresolved	False	False	False	False
embA	0.999999974879041	0.5	False	present	unresolved	False	False	False	False
embB	0.999999974879041	0.5	False	present	unresolved	False	False	False	False
embC	0.999999974879041	0.5	False	present	unresolved	False	False	False	False
emrB	0.99999790741491	0.5	False	present	unresolved	False	False	False	False
eno	0.999996786725414	0.5	False	present	unresolved	False	False	False	False
entC	0.999999957742776	0.99999522952278	True	present	present	True	True	False	False
ephA	0.999899890943719	0.5	False	present	unresolved	False	False	False	False
ephE	0.999993577539047	0.5	False	present	unresolved	False	False	False	False
ephG	0.999954184000507	0.5	False	present	unresolved	False	False	False	False
era	0.999996046157174	0.5	False	present	unresolved	False	False	False	False
ercc3	0.999998639995024	0.5	False	present	unresolved	False	False	False	False
erg3	0.999911011494006	0.594671861368099	True	present	unresolved	False	False	False	False
espR	0.999970206009791	0.5	False	present	unresolved	False	False	False	False
esxT	0.0442637141220641	0.0958074307480938	True	absent	unresolved	False	False	False	True
esxU	0.0442637141220641	0.0958074307480938	True	absent	unresolved	False	False	False	True
etfA	0.999998066939539	0.5	False	present	unresolved	False	False	False	False
etfB	0.999996862002671	0.5	False	present	unresolved	False	False	False	False
ethA	0.99999673725523	0.500062261298428	False	present	unresolved	False	False	False	False
fabD	0.999998000918024	0.5	False	present	unresolved	False	False	False	False
fabF	0.5	0.5	False	unresolved	unresolved	True	False	False	False
fabG	0.999998808597836	0.5	False	present	unresolved	False	False	False	False
fabG1	0.999993549729512	0.5	False	present	unresolved	False	False	False	False
fabG3	0.999617489652051	0.500000047162351	False	present	unresolved	False	False	False	False
fabG_1	0.999296217599704	0.5	False	present	unresolved	False	False	False	False
fabK	0.999993755797584	1	True	present	present	True	True	False	False
fadA	0.999981163267346	0.5	False	present	unresolved	False	False	False	False
fadA2	0.999993864023569	0.5	False	present	unresolved	False	False	False	False
fadA3	0.999999600012556	0.5	False	present	unresolved	False	False	False	False
fadA4	0.999950828919478	0.5	False	present	unresolved	False	False	False	False
fadA5	0.99997776445226	0.5	False	present	unresolved	False	False	False	False
fadA6	0.999911012323998	0.5	False	present	unresolved	False	False	False	False
fadB2	0.99999964699527	0.999999900624678	True	present	present	True	True	False	False
fadB4	0.999996911201714	0.5	False	present	unresolved	False	False	False	False
fadD1	0.503030774946454	0.5	False	unresolved	unresolved	True	False	False	False
fadD14	0.509145098681664	0.5	False	unresolved	unresolved	True	False	False	False
fadD15	0.0137284854070681	1	True	absent	present	False	True	True	True
fadD17	0.999971733298927	0.5	False	present	unresolved	False	False	False	False
fadD19	0.508493626421467	0.5	False	unresolved	unresolved	True	False	False	False
fadD2	0.999993593127798	0.5	False	present	unresolved	False	False	False	False
